City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
265,Gallipoli,TR,40.4103,26.6708,39.06,97,100,17.94,overcast clouds
266,Lieksa,FI,63.3167,30.0167,-0.2,100,82,2.89,broken clouds
267,Saskylakh,RU,71.9167,114.0833,-30.41,100,28,2.59,scattered clouds
268,Flinders,AU,-34.5833,150.8552,69.19,69,80,13.0,broken clouds
269,Poltavka,RU,54.3663,71.7632,16.97,86,100,7.27,overcast clouds
270,Provideniya,RU,64.3833,-173.3,10.51,72,75,35.79,broken clouds
271,Moron,AR,-34.6534,-58.6198,88.0,53,64,9.6,broken clouds
272,Bolgatanga,GH,10.7856,-0.8514,73.15,8,52,7.05,broken clouds
273,Ponta Do Sol,PT,32.6667,-17.1,67.01,79,100,6.08,overcast clouds
274,Souillac,MU,-20.5167,57.5167,79.36,94,75,31.07,moderate rain
275,Makakilo City,US,21.3469,-158.0858,79.68,60,0,8.05,clear sky
276,Mattru,SL,7.6244,-11.8332,73.89,91,13,2.26,few clouds
277,Harbour Breton,CA,47.4833,-55.7983,26.01,67,53,14.52,broken clouds
278,Aksu,CN,41.1231,80.2644,22.26,54,91,1.34,overcast clouds
279,Nagar,IN,27.4333,77.1,53.6,60,25,10.51,scattered clouds
280,Sisimiut,GL,66.9395,-53.6735,-0.13,79,100,19.13,overcast clouds
281,Umm Kaddadah,SD,13.6017,26.6876,69.3,20,12,6.33,few clouds
282,Pisco,PE,-13.7,-76.2167,77.05,57,0,20.71,clear sky
283,Velyka Pysarivka,UA,50.4259,35.485,32.59,99,100,4.29,light snow
284,Urumqi,CN,43.801,87.6005,-3.05,85,75,2.24,mist
285,Barra,BR,-11.0894,-43.1417,80.11,61,27,4.27,scattered clouds
286,Gladstone,AU,-23.85,151.25,76.78,88,40,4.61,scattered clouds
287,Kargat,RU,55.1956,80.2811,-5.33,100,100,5.26,overcast clouds
288,Matane,CA,48.8286,-67.522,33.55,82,100,14.63,overcast clouds
289,Pacific Grove,US,36.6177,-121.9166,64.87,30,0,4.0,clear sky
290,Mabaruma,GY,8.2,-59.7833,75.6,85,14,5.91,few clouds
291,Grindavik,IS,63.8424,-22.4338,25.27,63,75,3.44,broken clouds
292,Berdigestyakh,RU,62.0989,126.6992,-16.58,99,98,4.14,overcast clouds
293,Cidreira,BR,-30.1811,-50.2056,75.97,84,0,17.74,clear sky
294,Silver City,US,32.7701,-108.2803,47.91,45,100,11.99,overcast clouds
295,Derzhavinsk,KZ,51.1,66.3167,13.75,88,98,6.24,overcast clouds
296,Maracacume,BR,-2.0428,-45.9592,74.14,96,100,4.45,overcast clouds
297,Langsa,ID,4.4683,97.9683,72.79,98,82,2.39,broken clouds
298,Borovskoy,KZ,53.8,64.15,17.82,96,98,8.1,overcast clouds
299,Tadine,NC,-21.55,167.8833,81.07,78,96,9.42,overcast clouds
300,Leningradskiy,RU,69.3833,178.4167,-14.39,95,30,9.86,scattered clouds
301,Nhulunbuy,AU,-12.2333,136.7667,83.01,83,100,9.22,overcast clouds
302,Noshiro,JP,40.2039,140.0242,32.94,55,100,16.55,overcast clouds
303,Ancud,CL,-41.8697,-73.8203,68.23,76,96,7.07,overcast clouds
304,Neuquen,AR,-38.9516,-68.0591,89.49,25,40,9.22,scattered clouds
305,Qunduz,AF,36.729,68.857,44.24,83,100,7.07,overcast clouds
306,Narsaq,GL,60.9167,-46.05,3.42,66,56,7.92,broken clouds
307,Kautokeino,NO,69.0125,23.0412,7.34,96,100,4.41,overcast clouds
308,Dunedin,NZ,-45.8742,170.5036,55.94,94,100,12.44,moderate rain
309,Yar-Sale,RU,66.8333,70.8333,-1.12,98,100,13.2,light snow
310,Marquette,US,46.5333,-87.6335,11.82,57,100,9.73,overcast clouds
311,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,6.91,light snow
312,Khani,GE,41.9563,42.9566,38.77,74,98,10.0,overcast clouds
313,Belaya Gora,RU,68.5333,146.4167,-28.07,100,92,4.23,overcast clouds
314,Ambilobe,MG,-13.2,49.05,73.67,95,99,1.7,overcast clouds
315,Codrington,AU,-38.2667,141.9667,59.04,65,86,13.62,overcast clouds
316,Ahipara,NZ,-35.1667,173.1667,74.41,71,100,13.06,overcast clouds
